(4377590876000,0.0,0.0,0.0,0.0)
(4377590936000,0.0,0.0,0.0,0.0)
(4377590996000,0.0,0.0,0.0,0.0)
(4377591056000,0.0,0.0,0.0,0.0)
(4377591116000,0.0,0.0,0.0,0.0)
(4377591176000,0.0,0.0,0.0,0.0)
(4377591236000,0.0,0.0,0.0,0.0)
(4377591296000,0.0,0.0,0.0,0.0)
(4377591356000,0.0,0.0,0.0,0.0)
(4377591416000,0.0,0.0,0.0,0.0)
(4377591476000,0.0,0.0,0.0,0.0)
(4377591536000,0.0,0.0,0.0,0.0)
(4377591596000,0.0,0.0,0.0,0.0)
(4377591656000,0.0,0.0,0.0,0.0)
(4377591716000,0.0,0.0,0.0,0.0)
(4377591776000,0.0,0.0,0.0,0.0)
(4377591836000,0.0,0.0,0.0,0.0)
(4377591896000,0.0,0.0,0.0,0.0)
(4377591956000,0.0,0.0,0.0,0.0)
(4377592016000,0.0,0.0,0.0,0.0)
(4377592076000,0.0,0.0,0.0,0.0)
(4377592136000,0.0,0.0,0.0,0.0)
(4377592196000,0.0,0.0,0.0,0.0)
(4377592256000,0.0,0.0,0.0,0.0)
(4377592316000,0.0,0.0,0.0,0.0)
(4377592376000,0.0,0.0,0.0,0.0)
(4377592436000,0.0,0.0,0.0,0.0)
(4377592496000,0.0,0.0,0.0,0.0)
(4377592556000,0.0,0.0,0.0,0.0)
(4377592616000,0.0,0.0,0.0,0.0)
(4377592676000,0.0,0.0,0.0,0.0)
(4377592736000,0.0,0.0,0.0,0.0)
(4377592796000,0.0,0.0,0.0,0.0)
(4377592856000,0.0,0.0,0.0,0.0)
(4377592916000,0.0,0.0,0.0,0.0)
(4377592976000,0.0,0.0,0.0,0.0)
(4377593036000,0.0,0.0,0.0,0.0)
(4377593096000,0.0,0.0,0.0,0.0)
(4377593156000,0.0,0.0,0.0,0.0)
(4377593216000,0.0,0.0,0.0,0.0)
(4377593276000,0.0,0.0,0.0,0.0)
(4377593336000,0.0,0.0,0.0,0.0)
(4377593396000,0.0,0.0,0.0,0.0)
(4377593456000,0.0,0.0,0.0,0.0)
(4377593516000,0.0,0.0,0.0,0.0)
(4377593576000,0.0,0.0,0.0,0.0)
(4377593636000,0.0,0.0,0.0,0.0)
(4377593696000,0.0,0.0,0.0,0.0)
(4377593756000,0.0,0.0,0.0,0.0)
(4377593816000,0.0,0.0,0.0,0.0)
(4377593876000,0.0,0.0,0.0,0.0)
(4377593936000,0.0,0.0,0.0,0.0)
(4377593996000,0.0,0.0,0.0,0.0)
