15:27:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:28:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:29:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:30:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:31:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:32:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:33:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:34:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:35:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:36:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:37:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:38:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:39:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:40:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:41:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:42:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:43:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:44:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:45:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:46:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:47:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:48:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:49:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:50:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:51:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:53:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:54:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:55:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:56:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:57:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:58:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
15:59:56 20/09/2108,0.0,0.0,0.0,0.0,0.0,0.0
